phase,start,stop,drift,method,mean_abs_error,mean_width
0,0,1000,0.0005,fixed,0.0854,95.05
0,0,1000,0.0005,fixed_long,0.1012,375.25
0,0,1000,0.0005,ewma,0.1407,39.0
0,0,1000,0.0005,adwin,0.1282,463.39
0,0,1000,0.0005,cube,0.0874,191.17
1,1000,2000,0.003,fixed,0.1454,100.0
1,1000,2000,0.003,fixed_long,0.6376,500.0
1,1000,2000,0.003,ewma,0.1351,39.0
1,1000,2000,0.003,adwin,0.2825,219.61
1,1000,2000,0.003,cube,0.1381,58.06
2,2000,3000,0.001,fixed,0.0876,100.0
2,2000,3000,0.001,fixed_long,0.3179,500.0
2,2000,3000,0.001,ewma,0.1308,39.0
2,2000,3000,0.001,adwin,0.1818,307.17
2,2000,3000,0.001,cube,0.1033,89.72
